,K-Market Pohtola,"1,95 €",ruokakauppa
,Prisma Lielahti,"12,83 €",ruokakauppa
,Wolt,"15,00 €",take away
,Prisma Lielahti,"17,00 €",ruokakauppa
,Prisma Lielahti,"9,93 €",ruokakauppa
,K-Market Pohtola,"3,85 €",ruokakauppa
,Prisma Lielahti,"11,38 €",ruokakauppa
,Prisma Lielahti,"5,74 €",ruokakauppa
,Prisma Lielahti,"13,30 €",ruokakauppa
,Prisma Lielahti,"4,24 €",ruokakauppa
,Arnolds Tullintori,"1,10 €",ulkona syöminen
,Prisma Lielahti,"9,83 €",ruokakauppa
,Prisma Lielahti,"21,81 €",ruokakauppa
,Prisma Lielahti jäätelökioski,"3,70 €",muu
,Prisma Lielahti,"22,69 €",ruokakauppa
,K-Market Pohtola,"6,42 €",ruokakauppa
huhti-touko,R-Kioski Puutarhakatu,"4,70 €",muu
,Prisma Lielahti,"4,15 €",ruokakauppa
,Prisma Lielahti,"13,13 €",ruokakauppa
,Vihreä Vuohi Lielahti,"8,90 €",kahvit
,Prisma Lielahti,"17,65 €",ruokakauppa
,Pella's Cafe,"10,50 €",kahvit
,Classic American Diner Lielahti,"10,90 €",take away
,Prisma Lielahti,"10,01 €",ruokakauppa
,Tei-Tupa,"20,00 €",ulkona syöminen
,Sale ABC Teivo,"13,86 €",ruokakauppa
,K-Market Pohtola,"11,03 €",ruokakauppa
,S-Market Pendoliino,"3,98 €",ruokakauppa
,Food & Co Tulli,"10,70 €",ulkona syöminen
,Prisma Lielahti,"13,07 €",ruokakauppa
,Ravintola Vaski,"2,40 €",muu
,Ravintola Vaski,"10,70 €",ulkona syöminen
,Prisma Lielahti,"13,89 €",ruokakauppa
,Prisma Lielahti,"15,22 €",ruokakauppa
,Biang,"12,90 €",ulkona syöminen
,Jäätelökioski Keskustori,"3,70 €",muu
,Prisma Lielahti,"10,50 €",ruokakauppa
,Cake House Cafe,"7,40 €",kahvit
,Prisma Lielahti,"18,01 €",ruokakauppa
,Prisma Lielahti,"7,08 €",ruokakauppa
,TKL,"11,70 €",julkinen liikenne
,R-Kioski linja-autoasema,"5,00 €",muu
,Prisma Lielahti,"16,34 €",ruokakauppa
,K-Market Pohtola,"5,23 €",ruokakauppa
,Prisma Lielahti,"20,01 €",ruokakauppa
,Prisma Lielahti,"12,93 €",ruokakauppa
,Prisma Lielahti,"15,74 €",ruokakauppa
,K-Market Pohtola,"6,63 €",ruokakauppa
,K-Market Pohtola,"9,43 €",ruokakauppa
,Patalahti,"11,30 €",ulkona syöminen
,Patalahti,"2,99 €",muu
,Shell Lievestuore,"7,20 €",kahvit
,S-Market Haukivuori,"17,73 €",ruokakauppa
,ABC Juva,"12,90 €",ulkona syöminen
,Kotileipomo Siiskonen,"14,20 €",ulkona syöminen
,Kotileipomo Siiskonen,"2,65 €",kahvit
,S-Market Jalkaranta,"4,95 €",ruokakauppa
touko-kesä,Arnolds Tullintori,"7,90 €",ulkona syöminen
,K-Market Tullintori,"9,75 €",ruokakauppa
,Prisma Lielahti,"17,84 €",ruokakauppa
,Vihreä Vuohi Lielahti,"10,30 €",kahvit
,Prisma Lielahti,"25,10 €",ruokakauppa
,Prisma Lielahti,"4,74 €",ruokakauppa
,Vihreä Vuohi Lielahti,"15,80 €",kahvit
,Prisma Lielahti,"8,18 €",ruokakauppa
,Prisma Lielahti,"26,82 €",ruokakauppa
,Pizza Cartel Lielahti,"14,25 €",take away
,Prisma Lielahti,"22,65 €",ruokakauppa
,Prisma Lielahti,"19,52 €",ruokakauppa
,Vihreä Vuohi Lielahti,"10,30 €",kahvit
,Prisma Lielahti,"10,75 €",ruokakauppa
,R-Kioski Lielahti,"4,95 €",kahvit
,Classic American Diner Lielahti,"14,20 €",take away
,Ravintola Vaski,"10,70 €",ulkona syöminen
,R-Kioski Lielahti,"14,45 €",take away
,Food & Co Tulli,"4,20 €",muu
,Vihreä Vuohi Lielahti,"11,30 €",kahvit
,Prisma Lielahti,"13,40 €",ruokakauppa
,R-Kioski Lielahti,"13,70 €",take away
,TKL,"5,40 €",julkinen liikenne
,Prisma Lielahti,"13,89 €",ruokakauppa
,jäätelökioski Lielahti,"6,30 €",kahvit
,Vihreä Vuohi Lielahti,"4,40 €",kahvit
,Prisma Lielahti,"6,28 €",ruokakauppa
,Prisma Lielahti,"14,23 €",ruokakauppa
,Vihreä Vuohi Lielahti,"10,30 €",kahvit
,Prisma Lielahti,"16,00 €",ruokakauppa
,TKL,"9,00 €",julkinen liikenne
,TKL,"2,70 €",julkinen liikenne
,jäätelökioski Lielahti,"3,70 €",muu
,TKL,"2,70 €",julkinen liikenne
,K-Market Pohtola,"5,37 €",ruokakauppa
,Prisma Lielahti,"17,58 €",ruokakauppa
,S-Market Hyhky,"9,65 €",ruokakauppa
,jäätelökioski Keskustori,"3,70 €",muu
,Prisma Lielahti,"22,28 €",ruokakauppa
,K-Market Pohtola,"4,53 €",ruokakauppa
,Prisma Lielahti,"6,10 €",ruokakauppa
,Subway Tesoma,"3,00 €",ulkona syöminen
,Prisma Lielahti,"20,22 €",ruokakauppa
,Arnolds Tullintori,"4,70 €",ulkona syöminen
,Prisma Lielahti,"13,40 €",ruokakauppa
,Prisma Lielahti,"5,09 €",ruokakauppa
,jäätelökioski Lielahti,"3,70 €",muu
,Pizza Cartel Lielahti,"2,80 €",take away
,Prisma Lielahti,"4,79 €",ruokakauppa
,jäätelökioski Prisma,"6,30 €",kahvit
,Prisma Lielahti,"21,41 €",ruokakauppa
,TKL,"5,40 €",julkinen liikenne
,K-Market Pohtola,"3,54 €",ruokakauppa
,Prisma Lielahti,"3,59 €",ruokakauppa
,Linkosuo Westeri,"6,50 €",kahvit
,K-Supermarket Westeri,"10,23 €",ruokakauppa
,Prisma Lielahti,"18,01 €",ruokakauppa
,TKL,"5,40 €",julkinen liikenne
,Food & Co Tulli,"10,70 €",ulkona syöminen
,Cake House Cafe,"7,70 €",kahvit
,Prisma Lielahti,"8,04 €",ruokakauppa
,Subway Lielahti,"16,80 €",take away
,Wolt Market,"18,42 €",ruokakauppa
,Prisma Lielahti,"15,21 €",ruokakauppa
,Prisma Lielahti,"34,39 €",ruokakauppa
,jäätelökioski Lielahti,"3,70 €",muu
,K-Market Koskenmäki,"8,20 €",ruokakauppa
,K-Market Pohtola,"7,57 €",ruokakauppa
kesä-heinä,TKL,"2,70 €",julkinen liikenne
,S-Market Tesoma,"2,19 €",ruokakauppa
,Linkosuo Westeri,"6,50 €",kahvit
,K-Supermarket Westeri,"12,80 €",ruokakauppa
,Prisma Lielahti,"1,77 €",ruokakauppa
,Posti Lielahti,"2,00 €",posti
,jäätelökioski Lielahti,"3,70 €",muu
,Vihreä Vuohi Lielahti,"14,50 €",kahvit
,Ravintola Vaski,"2,90 €",muu
,Prisma Lielahti,"11,87 €",ruokakauppa
,jäätelökioski Prisma,"6,60 €",kahvit
,Aleksis,"10,90 €",ulkona syöminen
,Subway Lielahti,"13,90 €",take away
,jäätelökioski Prisma,"6,30 €",kahvit
,Prisma Lielahti,"21,79 €",ruokakauppa
,K-Market Pohtola,"3,18 €",ruokakauppa
,Prisma Lielahti,"8,03 €",ruokakauppa
,Subway Lielahti,"13,30 €",take away
,Vihreä Vuohi Lielahti,"14,20 €",kahvit
,Prisma Lielahti,"6,25 €",ruokakauppa
,Prisma Lielahti,"12,41 €",ruokakauppa
,Prisma Lielahti,"19,80 €",ruokakauppa
,Prisma Lielahti,"15,62 €",ruokakauppa
,Wolt,"15,00 €",take away
,R-Kioski Lielahti,"2,20 €",muu
,Prisma Lielahti,"1,95 €",ruokakauppa
,jäätelökioski Prisma,"6,60 €",kahvit
,K-Market Pohtola,"3,18 €",ruokakauppa
,Prisma Lielahti,"8,77 €",ruokakauppa
,Prisma Lielahti,"11,20 €",ruokakauppa
,Vihreä Vuohi Lielahti,"2,20 €",kahvit
,Alko Lielahti,"8,20 €",alkoholijuomat
,K-Citymarket Lielahti,"9,82 €",ruokakauppa
,TKL,"5,40 €",julkinen liikenne
,Sale Hallila,"8,00 €",ruokakauppa
,Prisma Lielahti,"11,63 €",ruokakauppa
,Prisma Lielahti,"1,99 €",ruokakauppa
,jäätelökioski Prisma,"6,30 €",kahvit
,Patalahti,"0,60 €",ulkona syöminen
,Patalahti,"2,99 €",muu
,Lidl Pieksämäki,"24,14 €",ruokakauppa
,Sale Kontiopuisto,"7,50 €",ruokakauppa
,S-Market Juva,"11,42 €",ruokakauppa
,ABC Juva,"6,91 €",ruokakauppa
,torikahvila Savonlinna,"6,00 €",kahvit
,Shell Savonlinna,"5,60 €",ulkona syöminen
,Shell Savonlinna,"2,89 €",muu
,K-Supermarket Juva,"35,01 €",ruokakauppa
,Jari-Pekka Joroinen,"6,87 €",kahvit
,Jari-Pekka Joroinen,"9,15 €",ruokakauppa
,jäätelökioski Jari-Pekka,"3,40 €",muu
,ABC Tuukkala,"8,70 €",ulkona syöminen
,Presso Prisma Mikkeli,"3,90 €",kahvit
,Prisma Mikkeli,"5,08 €",ruokakauppa
,K-Supermarket Karikko,"12,54 €",ruokakauppa
,K-Supermarket Karikko,"23,44 €",ruokakauppa
,Sale ABC Juva,"2,94 €",ruokakauppa
,jäätelökioski ABC Juva,"3,80 €",muu
,R-Kioski Pieksämäki Keskuskatu,"5,60 €",muu
,Kotileipomo Siiskonen,"15,00 €",ulkona syöminen
,Kotileipomo Siiskonen,"2,65 €",kahvit
,K-Market Pohtola,"1,85 €",ruokakauppa
,Prisma Lielahti,"22,35 €",ruokakauppa
heinä-elo,Pizza Cartel Lielahti,"6,70 €",take away
,Vihreä Vuohi Lielahti,"3,20 €",kahvit
,Prisma Lielahti,"11,70 €",ruokakauppa
,Pella's Cafe,"17,40 €",kahvit
,Prisma Lielahti,"17,63 €",ruokakauppa
,Prisma Lielahti,"3,92 €",ruokakauppa
,Ravintola Vaski,"2,90 €",muu
,Malabadi,"15,90 €",ulkona syöminen
,K-Market Vellamonkatu,"8,78 €",ruokakauppa
,Friends & Brgrs,"14,80 €",ulkona syöminen
,Pella's Cafe,"10,80 €",take away
,Prisma Lielahti,"54,62 €",ruokakauppa
,jäätelökioski Suomensaari,"3,00 €",muu
,TKL,"2,70 €",julkinen liikenne
,Linkosuo Westeri,"10,20 €",kahvit
,K-Supermarket Westeri,"2,35 €",ruokakauppa
,S-Market Tesoma,"14,88 €",ruokakauppa
,TKL,"5,40 €",julkinen liikenne
,Tapioca Soul,"8,50 €",ulkona syöminen
,Cafe Arboretum,"5,40 €",kahvit
,Malabadi,"28,00 €",ulkona syöminen
,TKL,"2,70 €",julkinen liikenne
,K-Market Pohtola,"3,18 €",ruokakauppa
,Prisma Lielahti,"21,75 €",ruokakauppa
,jäätelökioski Lielahti,"4,00 €",muu
,Pizza Cartel Lielahti,"13,30 €",take away
,K-Market Pohtola,"1,59 €",ruokakauppa
,Vihreä Vuohi Lielahti,"11,30 €",kahvit
,Prisma Lielahti,"8,67 €",ruokakauppa
,S-Market Pendoliino,"8,46 €",ruokakauppa
,Aleksis,"10,90 €",ulkona syöminen
,Valkoinen Puu Cafe,"9,30 €",kahvit
,Subway Lielahti,"13,80 €",take away
,Prisma Lielahti,"11,22 €",ruokakauppa
,Subway Lielahti,"13,80 €",take away
,Prisma Lielahti,"28,61 €",ruokakauppa
,Hesburger Lielahti,"13,20 €",take away
,TKL,"5,40 €",julkinen liikenne
,K-Supermarket Westeri,"3,51 €",ruokakauppa
,Nepalilainen ravintola Tribeni,"20,60 €",take away
,Prisma Lielahti,"12,72 €",ruokakauppa
,K-Market Pohtola,"4,57 €",ruokakauppa
,jäätelökioski Lielahti,"3,80 €",muu
,K-Market Pohtola,"6,38 €",ruokakauppa
,Vihreä Vuohi Lielahti,"8,90 €",kahvit
,Prisma Lielahti,"6,30 €",ruokakauppa
,jäätelökioski Keskustori,"4,10 €",muu
,K-Citymarket Lielahti,"24,51 €",ruokakauppa
,K-Citymarket Lielahti,"15,66 €",ruokakauppa
,Tesoman yhteisökahvila,"2,10 €",kahvit
,Prisma Lielahti,"8,66 €",ruokakauppa
,TKL,"17,10 €",julkinen liikenne
,K-Citymarket Lielahti,"19,75 €",ruokakauppa
,Vihreä Vuohi Lielahti,"2,20 €",kahvit
,K-Market Pohtola,"6,32 €",ruokakauppa
,K-Citymarket Lielahti,"25,93 €",ruokakauppa
,K-Citymarket Lielahti,"24,21 €",ruokakauppa
,K-Citymarket Lielahti,"15,50 €",ruokakauppa
,K-Citymarket Lielahti,"19,70 €",ruokakauppa
,TKL,"5,40 €",julkinen liikenne
,Prisma Lielahti,"4,24 €",ruokakauppa
,K-Supermarket Westeri,"2,15 €",ruokakauppa
,K-Citymarket Lielahti,"20,02 €",ruokakauppa
,K-Citymarket Lielahti,"12,63 €",ruokakauppa
,K-Citymarket Lielahti,"17,05 €",ruokakauppa
elo-syys,jäätelökioski Keskustori,"4,10 €",muu
,Pizza Cartel Lielahti,"8,80 €",take away
,Tesoman yhteisökahvila,"5,00 €",kahvit
,K-Citymarket Lielahti,"23,13 €",ruokakauppa
,TKL,"5,40 €",julkinen liikenne
,Ravintola Vaski,"5,60 €",muu
,TKL,"2,70 €",julkinen liikenne
,K-Citymarket Lielahti,"5,90 €",ruokakauppa
,Vihreä Vuohi Lielahti,"10,30 €",kahvit
,Subway Lielahti,"13,90 €",take away
,Food & Co Tulli,"10,90 €",ulkona syöminen
,K-Citymarket Lielahti,"12,34 €",ruokakauppa
,R-Kioski Lielahti,"4,95 €",kahvit
,K-Citymarket Lielahti,"20,35 €",ruokakauppa
,K-Citymarket Lielahti,"16,68 €",ruokakauppa
,Sale Hallila,"11,05 €",ruokakauppa
,Valkoinen Puu Cafe,"9,30 €",kahvit
,K-Citymarket Lielahti,"10,76 €",ruokakauppa
,Prisma Lielahti,"7,99 €",ruokakauppa
,Arnolds Tullintori,"7,80 €",kahvit
,K-Market Tullintori,"12,83 €",ruokakauppa
,K-Citymarket Lielahti,"25,92 €",ruokakauppa
,Arnolds Tullintori,"4,40 €",kahvit
,K-Citymarket Lielahti,"4,98 €",ruokakauppa
,K-Citymarket Lielahti,"24,22 €",ruokakauppa
,Kotipizza Lielahti,"19,40 €",take away
,Vihreä Vuohi Lielahti,"18,20 €",kahvit
,K-Citymarket Lielahti,"12,27 €",ruokakauppa
,Wolt Market,"17,46 €",ruokakauppa
,Valkoinen Puu Cafe,"9,30 €",kahvit
,Ruohonjuuri,"11,85 €",muu
,TKL,"4,50 €",julkinen liikenne
,K-Citymarket Lielahti,"15,96 €",ruokakauppa
,K-Citymarket Lielahti,"23,63 €",ruokakauppa
,Food & Co Tulli,"10,90 €",ulkona syöminen
,Valkoinen Puu Cafe,"9,30 €",kahvit
,K-Citymarket Lielahti,"11,06 €",ruokakauppa
,Tesoman yhteisökahvila,"5,00 €",kahvit
,K-Supermarket Westeri,"12,62 €",ruokakauppa
,K-Citymarket Lielahti,"9,63 €",ruokakauppa
,Prisma Lielahti,"12,78 €",ruokakauppa
,Prisma Lielahti,"12,65 €",ruokakauppa
,huoltoasema ?,"5,80 €",kahvit
,kahvila Tuuri,"4,75 €",kahvit
,Ravintola OnnenKivi,"1,20 €",ulkona syöminen
,K-Citymarket Lielahti,"12,37 €",ruokakauppa
,K-Citymarket Lielahti,"13,50 €",ruokakauppa
,Prisma Lielahti,"8,47 €",ruokakauppa
,Tesoman yhteisökahvila,"5,00 €",kahvit
,K-Citymarket Lielahti,"9,85 €",ruokakauppa
,R-Kioski Lielahti,"2,75 €",muu
,K-Citymarket Lielahti,"12,97 €",ruokakauppa
,K-Citymarket Lielahti,"28,55 €",ruokakauppa
,K-Citymarket Lielahti,"8,36 €",ruokakauppa
,K-Supermarket Westeri,"11,15 €",ruokakauppa
,K-Supermarket Westeri,"11,34 €",ruokakauppa
,Tesoman yhteisökahvila,"5,00 €",kahvit
,?,"4,50 €",?
,Asahi Sushi,"3,60 €",ulkona syöminen
,Prisma Lielahti,"4,15 €",ruokakauppa
,TKL,"5,40 €",julkinen liikenne
,K-Citymarket Lielahti,"6,24 €",ruokakauppa
,Prisma Lielahti,"11,18 €",ruokakauppa
,K-Citymarket Lielahti,"22,49 €",ruokakauppa
,TKL,"5,40 €",julkinen liikenne
,Prisma Lielahti,"4,28 €",ruokakauppa
,Sale Hallila,"6,14 €",ruokakauppa
,Wolt,"11,05 €",take away
syys-loka,Ravintola Aleksis,"10,90 €",ulkona syöminen
,K-Market Tullintori,"5,55 €",ruokakauppa
,Valkoinen Puu Cafe,"9,30 €",kahvit
,K-Citymarket Lielahti,"21,49 €",ruokakauppa
,K-Citymarket Lielahti,"10,74 €",ruokakauppa
,Pizpala,"19,20 €",take away
,R-Kioski Lielahti,"4,95 €",kahvit
,K-Citymarket Lielahti,"12,29 €",ruokakauppa
,kahvila K-Citymarket Lielahti,"2,00 €",kahvit
,K-Citymarket Lielahti,"27,72 €",ruokakauppa
,Pizza Cartel Lielahti,"13,90 €",take away
,K-Citymarket Lielahti,"19,83 €",ruokakauppa
,Prisma Lielahti,"17,49 €",ruokakauppa
,Vihreä Vuohi Lielahti,"11,00 €",kahvit
,Prisma Lielahti,"9,69 €",ruokakauppa
,R-Kioski linja-autoasema,"3,85 €",kahvit
,Hesburger Keskustori,"3,20 €",kahvit
,TKL,"9,00 €",julkinen liikenne
,Prisma Lielahti,"9,04 €",ruokakauppa
,Subway Lielahti,"14,30 €",take away
,Pella's Cafe,"11,10 €",kahvit
,Prisma Lielahti,"13,25 €",ruokakauppa
,TKL,"2,70 €",julkinen liikenne
,Prisma Lielahti,"13,21 €",ruokakauppa
,Vihreä Vuohi Lielahti,"9,10 €",kahvit
,Prisma Lielahti,"15,72 €",ruokakauppa
,Prisma Lielahti,"42,24 €",ruokakauppa
,Prisma Lielahti,"8,10 €",ruokakauppa
,Prisma Lielahti,"21,75 €",ruokakauppa
,Prisma Lielahti,"16,23 €",ruokakauppa
,Lielahden apteekki,"4,50 €",apteekki
,Espresso House Stockmann,"0,10 €",kahvit
,Prisma Lielahti,"6,37 €",ruokakauppa
,K-Market Pohtola,"17,14 €",ruokakauppa
,Prisma Lielahti,"25,93 €",ruokakauppa
,Prisma Lielahti,"4,58 €",ruokakauppa
,Asahi Sushi,"2,20 €",ulkona syöminen
,Tesoman yhteisökahvila,"5,00 €",kahvit
,Vihreä Vuohi Lielahti,"0,70 €",kahvit
,Prisma Lielahti,"5,30 €",ruokakauppa
,Vihreä Vuohi Lielahti,"0,50 €",kahvit
,Prisma Lielahti,"9,16 €",ruokakauppa
,Prisma Lielahti,"22,43 €",ruokakauppa
,Prisma Lielahti,"16,46 €",ruokakauppa
,K-Market Pohtola,"14,44 €",ruokakauppa
loka-marras,Arnolds Tullintori,"5,40 €",ulkona syöminen
,Prisma Lielahti,"1,95 €",ruokakauppa
,Vihreä Vuohi Lielahti,"0,70 €",kahvit
,Prisma Lielahti,"22,39 €",ruokakauppa
,Prisma Lielahti,"12,64 €",ruokakauppa
,Prisma Lielahti,"5,93 €",ruokakauppa
,Food & Co Tulli,"10,90 €",ulkona syöminen
,Prisma Lielahti,"14,50 €",ruokakauppa
,TKL,"5,40 €",julkinen liikenne
,Valkoinen Puu Cafe,"9,30 €",kahvit
,K-Market Pohtola,"18,36 €",ruokakauppa
,Prisma Lielahti,"14,21 €",ruokakauppa
,Vihreä Vuohi Lielahti,"9,10 €",kahvit
,Prisma Lielahti,"10,43 €",ruokakauppa
,K-Market Pohtola,"11,24 €",ruokakauppa
,Pizza Cartel Lielahti,"14,70 €",take away
,Prisma Lielahti,"9,43 €",ruokakauppa
,Hesburger Lielahti,"13,80 €",take away
,Tullikamarin Klubi,"10,90 €",ulkona syöminen
,Prisma Lielahti,"8,51 €",ruokakauppa
,Arnolds Tullintori,"12,40 €",ulkona syöminen
,Prisma Lielahti,"3,95 €",ruokakauppa
,K-Market Pohtola,"25,80 €",ruokakauppa
,Prisma Lielahti,"22,37 €",ruokakauppa
,Vihreä Vuohi Lielahti,"12,00 €",kahvit
,Prisma Lielahti,"6,20 €",ruokakauppa
,Kotipizza Lielahti,"5,90 €",take away
,Prisma Lielahti,"17,60 €",ruokakauppa
